TITLE,ARTIST,KEY,DURATION,TEMPO,COUNTIN,BACKING,NORD,ROLAND,VE,PERFORMANCE KEY,TIME SIGNATURE,SONG ID,SONG LABEL,ENERGY LEVEL,VOCAL INTENSITY,GENRE PRIMARY,GENRE SECONDARY,SING ALONG
Fast As You,Dwight Yoakam,E,4:30,126,,,,,,,,DEF:D:DwightYokam:FastAsYou,,7,FULL,Country Rock,,false
Little Sister,Dwight Yoakam,E,3:00,144,4,BB,O14,,,,,DEF:D:DwightYokam:LittleSister,LittleSister,7,FULL,Country Rock,,false
Can't Get You Out Of My Head,ELO,C,4:00,85,,,,,,,,DEF:E:ELO:CantGetYouOutOfMyHead,,8,FULL,Dance Pop,,true
Midnight Blue,ELO,F,4:10,141,,,,,,D,,DEF:E:ELO:MidnightBlue,,,,,,
Rockaria,ELO / Jeff Lynne,D,,,,,,,,,,DEF:E:ELO:Rockaria,,7,FULL,Rock,,false
When I Was A Boy,ELO ( Jeff Lynne ),C,,,,,,,,,,DEF:E:ELO:WhenIWasABoy,When IWasBoy,,,,,
I Can't Tell You Why,Eagles,Bm,,,,,,,,,,DEF:E:Eagles:ICantTellYouWhy,,3,FULL,Soft Rock,,false
Love Will Keep Us Alive,Eagles,A,,90,,,,,,,,DEF:E:Eagles:LoveWillKeepUsAlive,,3,FULL,Soft Rock,Ballad,false
Lyin' Eyes,Eagles,G,3:45,133,8,,O55,,,,,DEF:E:Eagles:LyinEyes,Lyin  Eyes,4,FULL,Country Rock,,false
Hey There Lonely Girl,Eddie Holman,G,3:00,,,,,,,,,DEF:E:EddieHolman:HeyThereLonelyGirl,,3,FULL,Soul,Ballad,false
Think I'm In Love,Eddie Money,Eb,4:00,152,,,,,,,,DEF:E:EddieMoney:ThinkImInLove,,6,FULL,Rock,,false
Last Song,Edward Bear,G,3:00,,,,P55,,,,,DEF:E:EdwardBear:LastSong,,3,FULL,Soft Rock,Ballad,false
Crocodile Rock,Elton John,G,3:10,151,8,RC,P25,,,G,,DEF:E:EltonJohn:CrocodileRock,CrocodRock,8,FULL,Rock,,true
Daniel,Elton John,C,3:30,66,,,,,,,,DEF:E:EltonJohn:Daniel,Daniel,3,FULL,Pop,Ballad,false
Daniel,Elton John,A,3:30,66,8,,N43,,,,,DEF:E:EltonJohn:Daniel-a,Daniel,3,FULL,Pop,Ballad,false
