ARTIST,BACKING,CAPO,CHORDPRO FILENAME,COUNTIN,DURATION,KEY,NORD,PERFORMANCE KEY,TEMPO,TIME SIGNATURE,TITLE,VE,VERSION
ELO,,,./cho/DEF/E/ELO/MidnightBlue.cho,,4:10,F,,D,,,Midnight Blue,,
ELO / Jeff Lynne,,,./cho/DEF/E/ELO/Rockaria.cho,,,D,,,,,Rockaria,,
Traditional,,,./cho/UV-Z/Xmas/RudolphTheRedNosedReindeer.cho,,2:10,C,,,94,,Rudolph The Red-Nosed Reindeer,,
Bobby Helms,,,./cho/UV-Z/Xmas/JingleBellRock.cho,4,1:45,C,,,118,,Jingle Bell Rock,,
Traditional,,,./cho/UV-Z/Xmas/WinterWonderland.cho,,2:10,Eb,,,94,,Winter Wonderland,,
Eartha Kitt,,,./cho/UV-Z/Xmas/SantaBaby.cho,,2:30,G,,,151,,Santa Baby,,
Dean Martin,,,./cho/UV-Z/Xmas/LetItSnow.cho,,1:50,A,,,95,,Let It Snow,,
Paul McCartney,,,./cho/UV-Z/Xmas/WonderfulChristmastime.cho,,,G,,,,,Wonderful Christmastime,,
Brenda Lee,,,./cho/UV-Z/Xmas/RockinAroundTheChristmasTree.cho,,2:20,G,,,138,,Rockin' Around The Christmas Tree,,
Bing Crosby,,,./cho/UV-Z/Xmas/HaveYourselfAMerryLittleChristmas.cho,,2:50,C,,,80,,Have Yourself A Merry Little Christmas,,
Bruce Springsteen,,,./cho/UV-Z/Xmas/SantaClausIsComingToTown.cho,,3:30,C,,,118,,Santa Claus Is Coming To Town,,
Elvis Presley,,,./cho/UV-Z/Xmas/BlueChristmas.cho,,1:50,E,,,95,,Blue Christmas,,
Bing Crosby,,,./cho/UV-Z/Xmas/ItsBeginningToLookALotLikeChristmas.cho,4,2:00,G,,,96,,It's Beginning To Look A Lot Like Christmas,,
The Beach Boys,,,./cho/UV-Z/Xmas/LittleSaintNick.cho,,1:45,G,,,131,,Little Saint Nick,,
Luke Bryan,,,./cho/UV-Z/Xmas/RunRunRudolph.cho,4,2:30,A,,,151,,Run Run Rudolph,,
Wham!,,,./cho/UV-Z/Xmas/LastChristmas.cho,4,4:00,C,,,151,,Last Christmas,,
Zombies,,,./cho/UV-Z/Zombies/TimeOfTheSeason.cho,,,Em,,,117,,Time of the Season,,
U2,,,./cho/UV-Z/U2/StuckInAMoment-IStillHaventFound.cho,,,E / C,N51,,TBD,,Stuck In A Moment / I Still Haven't Found,,
Weezer,58,,./cho/UV-Z/W/Weezer/IslandInTheSun.cho,4,3:00,Em,P54,,,,Island In The Sun,,
The Weeknd,,,./cho/UV-Z/W/Weeknd/BlindingLights.cho,,3:20,Fm,,,171,,Blinding Lights,,
The Church,32,,./cho/ST/T/TheChurch/UnderTheMilkyWay.cho,8,5:00,Am,P45,,66,,Under The Milky Way,,0.0
Toby Keith,,,./cho/ST/T/TobyKeith/YourSmile-A.cho,,,A,,,77,4/4,Your Smile,,
Toby Keith,,,./cho/ST/T/TobyKeith/WhereYouGonnaGo.cho,,,Bm,,,129,4/4,Where You Gonna Go,,
Toby Keith,,,./cho/ST/T/TobyKeith/YourSmile.cho,,,G,,,77,4/4,Your Smile,,
Traveling Wilburys,,,./cho/ST/T/TravelingWilburys/HandleWithCare.cho,4,3:18,G,M22,,122,,Handle With Care,P12,
Toby Beau,,,./cho/ST/T/TobyBeau/MyAngelBaby.cho,,3:00,G,,,,,My Angel Baby,,
